SN,Lastname,Firstname,Gender,Height,Weight,Passport ID,Country,Job Title,Income Annual,Hobby,Car Brand,Age,Num Covid Shots
443,Trevino,Albert,M,1.71,48.36,R5284959N,Finland,Jewel-Corner-Brushing-Machine Operator,48593,Walking,-,17.0,0.0
444,Stephenson,Jessica,F,1.62,47.76,A1576949M,Egypt,Cloth Doffer,63661,Boating,-,28.0,2.0
445,Curtis,Jane,F,1.39,43.68,30298870H,Singapore,Video or Film Producer,25168,Going to Movies,-,25.0,1.0
446,Cohen,Thomas,M,1.91,48.36,H7306644A,Chile,Ironworker-Machine Operator,9070,Entertaining,-,31.0,1.0
447,Ford,Sophia,F,1.5,39.63,G6040937O,Senegal,"Cleaner, Wall",116375,Writing,-,32.0,0.0
448,Blake,Steven,M,1.79,70.45,U7926264Z,India,Watch-Crystal Edge Grinder,11812,Eating Out,-,22.0,0.0
449,Glass,Linda,F,1.82,39.32,83793119J,Bulgaria,"Lead Burner, Machine",147579,Entertaining,-,41.0,1.0
450,Hubbard,Gabriel,M,1.94,63.76,M6855317I,United States of America,Pipe-Fitter Helper,59117,Camping,Geely,29.0,0.0
451,Everett,Nathan,M,1.86,57.2,J8949672J,Luxembourg,"Clipper, Machine",32770,Working on Cars,-,34.0,1.0
452,Webster,Ryan,M,1.94,52.21,37770740C,Spain,Pipe Stem Repairer,16204,Fishing,-,22.0,1.0
453,Stout,Edward,M,1.85,62.81,T0899757O,Netherlands,"Front-Edge-Tape Sewer, Lockstitch",70688,Hunting,-,21.0,1.0
454,Freeman,Emily,F,1.77,49.67,X7515284X,Italy,Silk Spreader,18166,Socializing,-,19.0,0.0
455,Harding,Laura,F,1.58,46.79,G9054389C,Portugal,Dynamite-Packing-Machine Feeder,112215,Sewing,Acura,32.0,0.0
456,Fernandez,Carl,M,1.78,70.27,Q3024868A,United Kingdom,Trimmer Helper,34488,Painting,-,32.0,1.0
457,Rowe,Olivia,F,1.54,42.44,M0420818H,Mexico,Pot Tender,64316,Team Sports,-,39.0,0.0
458,Dillon,Virginia,F,1.39,55.36,T3005038W,Luxembourg,Spring Clipper,94246,Cooking,Lamborghini,29.0,0.0
459,Fitzpatrick,Terry,M,1.68,51.63,G5581477I,Finland,Press Machine Feeder,163241,Writing,-,31.0,0.0
460,Rivers,Doris,F,1.47,39.48,78554700L,Finland,Distilling-Department Supervisor,162882,Traveling,-,35.0,0.0
461,Mccullough,Marie,F,1.5,40.19,L7512921X,India,Snuff Grinder And Screener,169003,Dancing,Toyota,41.0,2.0
462,Donovan,Gabriel,M,1.67,56.22,E4712163V,Spain,"Knitter, Hand",6802,Gardening,-,35.0,0.0
463,Watts,Theresa,F,1.73,39.32,21956316C,Netherlands,"Supervisor, Abattoir",8410,Working on Cars,-,35.0,1.0
464,Fry,Ryan,M,1.76,65.53,Y2062878V,Netherlands,"Usher, Head",169479,Playing Cards,-,20.0,1.0
465,Whitaker,Austin,M,1.59,84.68,14406647C,Luxembourg,"Puller And Laster, Machine",12508,Listening to Music,-,15.0,1.0
466,Anderson,Michelle,F,1.63,40.41,L6914888C,Mexico,"Supervisor, Compressed Yeast",39961,Golf,-,19.0,1.0
467,Wagner,Doris,F,1.46,56.1,13842428B,Germany,"Installer, Movable Bulkhead",30123,Playing Cards,-,30.0,0.0
468,Perry,Donna,F,1.76,40.23,F1553112X,Italy,Rougher,9237,Working on Cars,-,36.0,1.0
469,Castro,Kayla,F,1.47,47.97,68281467R,Australia,Casing-Material Weigher,9236,Motorcycling,-,32.0,0.0
470,Massey,Beverly,F,1.74,45.34,69601810S,Denmark,Barrel-Raiser Helper,69696,Skiing,-,33.0,0.0
471,Carey,Stephanie,F,1.43,47.16,21387316R,Greece,"Sales Representative, Tobacco Products And Smoking Supplies",7903,Team Sports,-,26.0,0.0
472,Kramer,Logan,M,1.82,51.61,N8725541N,Singapore,Dry-Charge-Process Attendant,38442,Computer Games,-,23.0,0.0
473,Todd,James,M,1.94,56.08,54522231M,Japan,"Supervisor, Route Sales-Delivery Drivers",79645,Socializing,-,20.0,1.0
474,Bates,Carolyn,F,1.45,39.32,60080120H,Cyprus,Treasurer,53177,Shopping,-,30.0,1.0
475,Horton,Daniel,M,1.58,81.09,A3671572H,United Kingdom,Driller Helper,30207,Playing Cards,-,23.0,0.0
476,Greer,Michelle,F,1.82,45.48,F8962056Z,South Korea,Bricklayer Supervisor,91835,Beach,Mitsubishi,43.0,1.0
477,Clayton,Catherine,F,1.66,39.32,H1332619S,Australia,Boilermaker Fitter,53279,Playing Cards,-,33.0,0.0
478,Hull,Mary,F,1.54,39.32,38034947P,Spain,Sweeping-Compound Blender,21929,Traveling,-,24.0,1.0
479,Gonzales,Frank,M,1.92,67.29,E7258780L,Senegal,"Kiln Operator, Malt House",13147,Housework,-,26.0,1.0
480,Parks,Martha,F,1.64,39.32,Z2373946H,Egypt,"Edger, Hand",7038,Playing Cards,-,40.0,1.0
481,Davis,David,M,1.79,48.36,J2586483A,France,Material Lister,18628,Bowling,-,22.0,0.0
482,Rose,Judy,F,1.55,39.32,R2196502Z,Sweden,Newswriter,85365,Team Sports,-,28.0,0.0
483,Campos,Justin,M,1.77,61.73,R9226558S,Denmark,Storage Battery Inspector And Tester,6591,Exercise,-,23.0,0.0
484,Molina,Brandon,M,1.75,48.36,F9072107B,Germany,Patch Sander,111642,Sleeping,-,23.0,1.0
485,Decker,Ashley,F,1.63,40.53,I3482908L,Mexico,Highway-Administrative Engineer,7958,Running,-,35.0,0.0
486,Talley,Rose,F,1.65,56.58,17250908M,Denmark,Field-Service Engineer,115622,Computer Games,-,31.0,0.0
487,Daugherty,Betty,F,1.67,39.32,38919781E,Germany,Chief Robot Whisperer,64990,Beach,Dodge,29.0,0.0
488,Fulton,Evelyn,F,1.49,52.64,35561447Y,Canada,Tank Cleaner,26187,Hiking,-,39.0,1.0
489,Ochoa,Judy,F,1.49,47.58,N4161763M,France,Copyright Expert,24544,Writing,-,33.0,1.0
490,England,Patricia,F,1.8,45.44,V6974129M,Czechia,Mailroom Supervisor,37810,Skiing,-,36.0,1.0
491,Shepard,Louis,M,1.78,57.51,63197405R,Slovakia,Dye Automation Operator,38732,Bicycling,-,26.0,1.0
492,Juarez,Denise,F,1.44,39.32,54955844D,Netherlands,Kiln Drawer,97297,Watching Sports,-,32.0,1.0
493,Andrews,Rebecca,F,1.77,48.06,64945166E,Ireland,User Support Analyst Supervisor,75286,Playing Cards,Maserati,25.0,2.0
494,Martin,Vincent,M,1.94,81.08,43677625S,Bulgaria,Burner Tender,74607,Camping,-,34.0,1.0
495,Clay,Sean,M,1.94,65.28,C7662632N,France,Felt Carbonizer,28826,Bowling,-,20.0,0.0
496,Snow,Grace,F,1.45,45.58,83260903V,Finland,Sequencing-Machine Operator,19836,Playing Music,-,25.0,0.0
497,Sharpe,Megan,F,1.39,61.29,38312921Z,Hungary,Electronics Utility Worker,107944,Dancing,Mercedes-Benz,26.0,1.0
498,Pierce,Walter,M,1.93,67.43,41609172C,Senegal,"Cloth Examiner, Hand",58531,Eating Out,Subaru,22.0,1.0
499,Anthony,Walter,M,1.87,81.23,30964705L,France,Social Media Specialist,44331,Team Sports,Honda,45.0,1.0
500,Jordan,Kenneth,M,1.94,58.93,Q4824543N,Australia,Test Worker,13575,Socializing,-,29.0,0.0
501,Lewis,Alice,F,1.61,41.78,N6354980F,India,Extruder Operator,14433,Crafts,-,32.0,0.0
502,Terrell,Jack,M,1.94,66.24,T5997553M,Netherlands,Garden Worker,9175,Painting,-,23.0,1.0
503,Bullock,Victoria,F,1.73,39.32,23511971R,Singapore,Remnants Cutter,11029,Bowling,-,28.0,1.0
504,Newman,Elizabeth,F,1.54,44.05,58451400Q,Greece,Lumber Scaler,13983,Animal Care,-,42.0,2.0
505,Rosales,Nancy,F,1.82,42.55,U1415285V,United Kingdom,"Binding Folder, Machine",45352,Dancing,-,30.0,1.0
506,Ware,Katherine,F,1.67,39.32,T0603128V,Germany,Assembly-Press Operator,8403,Bowling,-,17.0,1.0
507,Jarvis,Kyle,M,1.87,48.36,E1418585Y,Indonesia,"Contact Printer, Photoresist",68431,Swimming,-,26.0,1.0
508,Cameron,Helen,F,1.67,40.68,07824913W,Portugal,Deposit Clerk,34406,Watching Sports,-,37.0,0.0
509,Matthews,Victoria,F,1.5,43.36,V5313983O,Austria,Corn Grinder,27625,Working on Cars,-,44.0,1.0
510,Gallagher,Matthew,M,1.94,62.71,W5670850G,Russia,"Packer, Agricultural Produce",99755,Sleeping,-,20.0,1.0
511,Buchanan,Joshua,M,1.52,63.62,L9727478N,Thailand,Touch-Up Carver,36719,Billiards,-,33.0,1.0
512,Mitchell,Teresa,F,1.39,39.32,X4696555R,Denmark,Bowling-Ball Molder,22687,Working on Cars,-,30.0,1.0
513,Gallegos,Dorothy,F,1.78,43.3,34793528E,Sweden,Pressure-Test Operator,92833,Traveling,Renault,42.0,1.0
514,Freeman,Jessica,F,1.42,39.32,16530468O,United Kingdom,Casting-Operator Helper,96019,Crafts,-,34.0,0.0
515,Goodman,Judy,F,1.52,60.31,61891114P,France,Press Setter,21931,Running,-,41.0,1.0
516,Mccullough,Johnny,M,1.52,61.06,40183365I,Denmark,Lip Cutter And Scorer,12187,Bicycling,-,20.0,1.0
517,Fernandez,Sara,F,1.49,53.69,X6815954U,Denmark,Lap Cutter-Truer Operator,21061,Dancing,-,32.0,0.0
518,Dean,Linda,F,1.73,44.89,64404772A,Italy,Slip-Cover Sewer,18709,Socializing,-,30.0,0.0
519,Dennis,Raymond,M,1.7,48.36,E5379310F,Spain,Stock Preparer,44879,Gardening,Buick,29.0,1.0
520,Farley,Dennis,M,1.88,58.58,09324564S,Belgium,V-Belt Curer,164674,Animal Care,-,30.0,0.0
521,Waller,Denise,F,1.39,58.56,51040899Y,China,Drying-Machine Tender,130961,Watching TV,-,35.0,0.0
522,Page,Kathleen,F,1.63,39.32,C0143092G,Spain,Final Inspector,38801,Shopping,-,22.0,1.0
523,Dillon,Billy,M,1.86,68.25,14885812K,Argentina,Voice Pathologist,18062,Painting,-,15.0,0.0
524,Butler,Christopher,M,1.94,48.36,07032426X,Finland,Sleever,32296,Going to Movies,-,26.0,1.0
525,Marks,Stephen,M,1.78,48.36,11320913D,Malta,"Supervisor, Lace Tearing",32384,Reading,-,37.0,1.0
526,Rich,Laura,F,1.55,39.32,J3283162J,Czechia,Police Officer Ii,25270,Animal Care,-,40.0,1.0
527,Fitzpatrick,Dennis,M,1.93,51.73,J5128972Y,Croatia,Metal Control Worker,43605,Hunting,Ferrari,38.0,0.0
528,Mclaughlin,Kenneth,M,1.7,68.22,Z5784577A,Estonia,Dynamite-Packing-Machine Operator,20549,Painting,-,15.0,1.0
529,Woods,Brenda,F,1.53,47.45,04504860X,Argentina,Stock Patcher,83165,Sewing,Mazda,26.0,1.0
530,Johnston,Nancy,F,1.82,39.32,P2271826O,Russia,Television-And-Radio Repairer,13207,Running,-,39.0,0.0
531,Walls,Kimberly,F,1.73,44.62,M0808142F,Brazil,Educational Specialist,99949,Exercise,-,34.0,0.0
532,Blackwell,Denise,F,1.65,39.32,T9641465J,Netherlands,Instrument Repairer,12008,Watching Sports,-,26.0,0.0
533,Powers,Bradley,M,1.94,60.08,B4685459P,Greece,Police Officer Ii,40103,Dancing,Bentley,25.0,0.0
534,Chavez,Noah,M,1.72,55.85,H2787039I,Argentina,"Drill-Press Set-Up Operator, Single Spindle",15110,Listening to Music,-,43.0,1.0
535,Ortega,Brenda,F,1.69,39.32,25855251L,Egypt,Molecular Scientist,36329,Playing Music,-,36.0,0.0
536,Hansen,Paul,M,1.77,48.36,58140454Q,Australia,Office Helper,33844,Fishing,-,25.0,0.0
537,Beach,Joseph,M,1.94,69.0,83906007B,Japan,"Cooker, Casing",29087,Beach,-,47.0,1.0
538,Fisher,Betty,F,1.6,56.07,M9100663N,Slovenia,"Deputy Sheriff, Commander, Criminal And Patrol Division",23667,Sleeping,-,35.0,1.0
539,Blankenship,Denise,F,1.75,44.2,G2348114Q,Canada,Paradichlorobenzene Tender,185195,Playing Cards,Geely,37.0,1.0
540,Nash,Jonathan,M,1.94,71.03,E3261516R,Hungary,Unattended-Ground-Sensor Specialist,27494,Watching Sports,-,32.0,0.0
541,Fields,Adam,M,1.94,50.64,Q0144252P,France,Spiral Runner,99252,Playing Cards,GMC,39.0,0.0
542,Bruce,Emily,F,1.46,39.32,S5672576U,Romania,Blower Insulator,16867,Skiing,-,31.0,1.0
543,Tucker,Kathryn,F,1.53,50.22,P4381284F,Japan,"Welder, Arc",12316,Skiing,-,25.0,0.0
544,Hebert,Joseph,M,1.94,66.09,50278672G,South Korea,Latex-Ribbon-Machine Operator,15061,Computer Games,-,20.0,1.0
545,Hamilton,Judy,F,1.42,52.5,V8346139Y,Hungary,"Char-Filter-Tank Tender, Head",118327,Billiards,Honda,35.0,0.0
546,Walters,Joshua,M,1.94,48.36,B1697721Y,Romania,Lodging Manager,6932,Housework,-,40.0,1.0
547,Sharp,Danielle,F,1.67,46.77,55651040O,Belgium,Rotor Assembler,27231,Animal Care,-,27.0,0.0
548,Wiggins,Peter,M,1.92,66.31,K1879279J,Netherlands,Historian,22267,Theater,-,32.0,0.0
549,Long,Julie,F,1.63,53.82,02988640F,Belgium,Yard Engineer,14141,Golf,-,25.0,0.0
550,Riley,Daniel,M,1.94,48.36,Y4424620H,Croatia,Rope-Silica-Machine Operator,57270,Theater,Chevrolet,26.0,0.0
551,Donovan,Stephen,M,1.94,60.67,78700389D,Greece,Stuffing-Machine Operator,12199,Entertaining,-,43.0,1.0
552,Buckley,Hannah,F,1.7,53.72,J4855026W,Japan,Staple-Processing-Machine Operator,45237,Socializing,-,37.0,0.0
553,Wilcox,Mark,M,1.64,55.8,M4028888T,Austria,Stationary-Engineer Apprentice,17407,Listening to Music,-,32.0,1.0
554,Rivers,Barbara,F,1.39,52.71,F2327968Y,Chile,Fabric-Coating Supervisor,40793,Playing Music,-,30.0,0.0
555,Ford,Sara,F,1.82,42.79,O5486468R,Cyprus,"Handicapper, Harness Racing",20482,Exercise,-,37.0,0.0
556,Serrano,Joe,M,1.94,62.41,Z8275719S,Slovakia,Bowling-Ball Weigher And Packer,67629,Hunting,-,50.0,2.0
557,Cline,Michael,M,1.94,72.78,65256512O,Hungary,"Laborer, Shipyard",75541,Bowling,-,27.0,1.0
558,Hicks,Brenda,F,1.43,42.94,11354282E,Argentina,"Inspector, Aluminum Boat",45077,Writing,-,34.0,1.0
559,Roth,Dylan,M,1.94,78.2,A5786771M,Lithuania,"Supervisor, Electrical Assembly",21236,Exercise,-,36.0,1.0
560,Faulkner,Brittany,F,1.75,53.1,B5297856Y,Bulgaria,"Hide Stretcher, Hand",28971,Relaxing,-,29.0,1.0
561,Robertson,Elizabeth,F,1.54,40.06,Q7314034M,Estonia,Hair Stylist,57032,Bicycling,Rolls Royce,32.0,1.0
562,Drake,Gary,M,1.72,48.36,H4488361P,Finland,"Chucking-Machine Set-Up Operator, Multiple Spindle, Vertical",9065,Listening to Music,-,23.0,0.0
563,Frederick,Arthur,M,1.81,66.74,O1340700H,Sweden,Waxer,80380,Crafts,BMW,17.0,1.0
564,Knox,Kayla,F,1.59,39.69,E8516209M,Italy,Filling Machine Tender,61874,Swimming,Volvo,27.0,0.0
565,Leach,Jeffrey,M,1.94,59.9,D8716123X,France,Sanitation Inspector,162165,Sleeping,-,28.0,0.0
566,Woodard,Rebecca,F,1.43,39.32,C6104548H,Bulgaria,Weigher And Mixer,20385,Sleeping,-,39.0,0.0
567,Hess,Hannah,F,1.57,41.68,06579648J,Estonia,"Supervisor, Edging",12084,Working on Cars,-,36.0,1.0
568,Mendez,Brandon,M,1.89,62.64,F1113933Z,France,"Filler Shredder, Machine",43016,Working on Cars,Mercedes-Benz,28.0,1.0
569,Huff,Karen,F,1.39,48.2,31459234T,Estonia,"Machinist, Outside",9602,Sleeping,-,28.0,1.0
570,Mcintosh,George,M,1.77,49.59,21035633N,Vietnam,Millwright Supervisor,10140,Eating Out,-,25.0,1.0
571,Maldonado,Kathleen,F,1.67,39.71,M1142549N,Finland,Quality-Control Checker,15096,Watching TV,-,30.0,0.0
572,Klein,Lawrence,M,1.6,48.43,B0571518B,Russia,Dissolver Operator,30070,Boating,-,15.0,1.0
573,Donaldson,Frank,M,1.54,65.79,S5681155W,Romania,Cooker,36543,Motorcycling,-,29.0,1.0
574,Mcmillan,Alexander,M,1.71,62.76,22842285P,India,Personnel Quality Assurance Auditor,16298,Crafts,-,38.0,0.0
575,Shepard,Nancy,F,1.82,47.2,28126172M,Germany,Scarfing Machine Operator,77513,Horseback Riding,Acura,40.0,1.0
576,Anderson,Grace,F,1.72,39.32,62650466S,France,Manufacturing Engineer,84083,Playing Music,Audi,23.0,0.0
577,Clemons,Christine,F,1.42,47.2,M7575233F,Poland,Lane-Marker Installer,19097,Animal Care,-,34.0,0.0
578,Barrera,Billy,M,1.82,62.81,27479686E,Argentina,Petroleum Inspector,28021,Relaxing,-,25.0,0.0
579,Stewart,Lori,F,1.55,42.88,V8801924K,France,Psychiatrist,58452,Crafts,Cadillac,43.0,1.0
580,Osborne,Michelle,F,1.4,39.32,21003129W,Indonesia,Cloud Architect,55780,Camping,-,27.0,1.0
581,Strong,Rose,F,1.72,47.92,K8390556L,India,Job Setter,7658,Sewing,-,23.0,1.0
582,Thompson,Natalie,F,1.61,53.26,47566771R,Slovenia,Hopper Feeder,47461,Eating Out,-,35.0,2.0
583,Spence,Julie,F,1.69,50.24,M7137741B,Ireland,Handbag Framer,161251,Dancing,-,21.0,1.0
584,Sharpe,Christian,M,1.94,67.48,I6369512T,Netherlands,"Collar Setter, Overlock",82706,Bowling,Koenigsegg,23.0,1.0
585,Hays,Sean,M,1.67,53.88,V3866013N,Vietnam,Title Attorney,40580,Writing,-,27.0,1.0
586,Wall,Albert,M,1.72,65.2,J0588578D,France,Fur Glazer,7108,Traveling,-,23.0,0.0
587,Russo,Logan,M,1.93,61.37,U3094796I,Italy,"Grinder Operator, Automatic",18426,Sleeping,-,30.0,0.0
588,Velez,Gerald,M,1.72,54.92,B8539987I,United Kingdom,Parking Enforcement Officer,58131,Going to Movies,-,30.0,1.0
589,Small,Bryan,M,1.63,85.13,B6901768Q,Thailand,Sand Plant Attendant,8143,Sleeping,-,33.0,0.0
590,Huffman,Ralph,M,1.69,48.36,35664307E,Croatia,Color Tester,13809,Running,-,37.0,0.0
591,Shepherd,Lisa,F,1.71,39.32,68771849K,South Korea,Renovator-Machine Operator,11948,Gardening,-,28.0,0.0
592,Schneider,Nathan,M,1.94,63.73,26751429B,Spain,Vendor,47496,Family Time,Pagani,33.0,0.0
593,Sykes,Olivia,F,1.47,39.32,06195587Z,Mexico,Display Fabricator,71749,Dancing,Mazda,33.0,1.0
594,Jenkins,Samantha,F,1.76,51.81,G3860887T,Netherlands,Golf-Club Assembler,144351,Sleeping,Volkswagen,32.0,1.0
595,Rose,Zachary,M,1.93,58.7,08284709I,Estonia,Wire-Turning-Machine Operator,28605,Boating,-,15.0,1.0
596,Stein,Samuel,M,1.87,54.74,21370643T,Japan,Welding-Rod Coater,34994,Watching TV,-,35.0,0.0
597,Lowery,Rebecca,F,1.49,39.9,62090925K,Latvia,"Heel-Seat Fitter, Hand",109387,Swimming,-,37.0,0.0
598,Griffin,Michael,M,1.72,76.81,33614897G,Brazil,Neon-Sign Servicer,32379,Boating,-,29.0,0.0
599,Lindsay,Emma,F,1.63,47.82,W4630249B,South Africa,Cytologist,53383,Theater,Acura,38.0,1.0
600,Nolan,Anna,F,1.77,39.32,S8906579R,Turkey,Knit-Goods Washer,10341,Reading,-,33.0,1.0
601,Young,Anna,F,1.63,42.62,U5858989K,Spain,Rod-And-Tube Straightener,24789,Watching TV,-,29.0,1.0
602,Burgess,Edward,M,1.92,73.5,14912269Z,Germany,Pie Maker,10219,Bicycling,-,26.0,1.0
603,Lambert,Gloria,F,1.46,39.32,U7193750N,Russia,Stem-Dryer Maintainer,52839,Bicycling,-,43.0,1.0
604,Hendrix,Bryan,M,1.56,48.36,64149708F,Italy,Scorer,26292,Eating Out,-,36.0,1.0
605,Robertson,Sean,M,1.94,61.89,N8569765V,Ireland,"Dispatcher, Concrete Products",26005,Working on Cars,-,25.0,0.0
606,Anthony,Heather,F,1.47,43.48,O9065059E,Thailand,Inspector And Hand Packager,16594,Billiards,-,32.0,1.0
607,Petty,Hannah,F,1.5,46.5,48710381C,Sweden,Lathe Tender,38541,Going to Movies,-,41.0,1.0
608,Walters,Jacqueline,F,1.56,39.51,Z1780689E,Austria,"Bender, Hand",8326,Bicycling,-,47.0,1.0
609,Rutledge,Patricia,F,1.39,44.7,O3304114Y,Malta,Bullet-Slug-Casting-Machine Operator,11212,Sleeping,-,45.0,1.0
610,Atkins,Kevin,M,1.73,76.0,38170195O,Argentina,"Milling-Machine Set-Up Operator, Numerical Control",17046,Beach,-,27.0,0.0
611,Keller,Emma,F,1.75,46.58,32574089Y,Chile,"Reclamation Kettle Tender, Metal",50211,Horseback Riding,-,29.0,1.0
612,Kirk,Nicholas,M,1.67,70.85,H0315176B,Russia,Photoengraver Apprentice,17796,Playing Music,-,38.0,1.0
613,Santiago,Jean,F,1.82,51.75,D8660996W,India,Orthotist,49647,Hunting,Lamborghini,41.0,1.0
614,Hoover,Gabriel,M,1.62,64.79,54145533X,Saudi Arabia,"Cutlet Maker, Pork",6522,Skiing,-,47.0,1.0
615,Bradley,Frances,F,1.48,39.32,82744344L,Slovenia,"Supervisor, Candy",74892,Playing Cards,Pagani,36.0,0.0
616,Brady,Philip,M,1.6,63.67,39339235R,France,Fishing-Rod Assembler,50271,Running,-,48.0,1.0
617,Mclaughlin,Joe,M,1.8,56.71,Q3519657T,Italy,Medical Secretary,91449,Bicycling,-,30.0,1.0
618,Nielsen,Cynthia,F,1.82,40.5,T5221867N,Netherlands,Artificial-Pearl Maker,332142,Billiards,-,31.0,1.0
619,Walker,Russell,M,1.81,52.19,E3441007X,India,Core Shaper,13365,Dancing,-,21.0,0.0
620,Huber,Albert,M,1.94,59.28,Q3522289G,Australia,Leather Worker,32403,Entertaining,-,27.0,0.0
621,Weeks,Barbara,F,1.61,47.93,08990733I,Chile,Freezing-Machine Operator,22108,Computer Games,-,35.0,1.0
622,Hunt,Mary,F,1.7,47.54,F2015463C,Poland,"Commander, Identification And Records",8492,Crafts,-,34.0,0.0
623,Becker,Charles,M,1.94,57.86,S1078346F,Lithuania,"Assembler, Mining Machinery",29216,Hiking,-,27.0,1.0
624,Baird,George,M,1.94,48.36,25524695Q,United Kingdom,Press Puller,50174,Sleeping,-,17.0,0.0
625,Rocha,Andrew,M,1.61,48.36,A6305209U,Greece,Foam-Machine Operator,13621,Watching Sports,-,15.0,0.0
626,Lang,Doris,F,1.39,48.4,56669591J,Hungary,"Ultrasonic-Seaming-Machine Operator, Semiautomatic",72380,Relaxing,-,25.0,1.0
627,Cook,Linda,F,1.82,40.36,31778729K,Singapore,Restaurant Chain Executive,50829,Socializing,Bentley,29.0,0.0
628,Bright,William,M,1.66,56.56,46069116E,Saudi Arabia,"Supervisor, Vendor Quality",26954,Relaxing,-,15.0,0.0
629,Bush,Terry,M,1.76,48.36,H2489329J,France,Collet Gluer,100488,Watching Sports,-,32.0,0.0
630,Mcgee,Theresa,F,1.62,44.8,29191020M,Bulgaria,"Package Sealer, Machine",13894,Beach,-,23.0,1.0
631,Ayala,Eugene,M,1.59,63.1,20490362N,Indonesia,Plodder Operator,9551,Motorcycling,-,27.0,1.0
632,Hartman,Benjamin,M,1.78,48.36,25656446V,China,"Knitting-Machine Operator, Full-Fashioned Hosiery, Automatic",20666,Working on Cars,-,20.0,1.0
633,Huffman,Cheryl,F,1.81,39.32,S1530515Z,Argentina,Automotive-Tire Tester,16310,Running,-,38.0,0.0
634,Kinney,Andrew,M,1.93,55.21,Z9609697D,Hungary,"Editor, Publications",147463,Computer Games,-,24.0,0.0
635,Bradford,Kayla,F,1.41,39.32,Y1482237K,Spain,"Supervisor, Blood-Donor Recruiters",93519,Gardening,-,30.0,1.0
636,Rowland,Christine,F,1.57,42.01,W7850400T,Japan,Leather Cleaner,138672,Watching Sports,Aston Martin,37.0,1.0
637,Barr,Gloria,F,1.65,56.9,81477442S,China,"Filter Tender, Jelly",45911,Bowling,-,23.0,0.0
638,Riddle,Sarah,F,1.39,53.31,J7629142S,Germany,Flasher Adjuster,16628,Swimming,-,27.0,2.0
639,Donaldson,Kimberly,F,1.71,56.44,T0765471R,Indonesia,Silo Operator,11686,Hiking,-,24.0,1.0
640,Mosley,Melissa,F,1.54,47.79,C4182484S,Czechia,Conditioner Tender,68633,Beach,-,40.0,1.0
641,Melton,Ann,F,1.82,39.32,Z4734780E,Indonesia,"Supervisor, Garment Manufacturing",27430,Tennis,-,38.0,1.0
642,Benton,Ralph,M,1.87,60.8,42955213G,Portugal,Waist Pleater,7250,Entertaining,-,27.0,1.0
643,Gonzalez,Lisa,F,1.68,49.53,83757194B,Australia,Belt-Press Operator I,30686,Beach,-,28.0,0.0
644,Snow,Diana,F,1.82,50.02,L9125633E,France,Belt-Maker Helper,13528,Going to Movies,-,34.0,1.0
645,Curry,Kathleen,F,1.73,50.33,64785375Q,Bulgaria,Shoe-Repair Supervisor,22763,Team Sports,-,36.0,0.0
646,Stephenson,Catherine,F,1.63,45.75,78564936F,Italy,Mash Grinder,15508,Camping,-,26.0,0.0
647,Cash,Jack,M,1.82,58.06,50060105P,Latvia,Pearl Restorer,9087,Traveling,-,27.0,1.0
648,Whitley,Dylan,M,1.89,56.25,U9046248F,Lithuania,Jigger,33564,Entertaining,-,20.0,2.0
649,Bullock,Abigail,F,1.48,41.72,29004533O,Brazil,Ball Assembler,12076,Family Time,-,35.0,1.0
650,Barton,Peter,M,1.83,55.37,R9379113B,Croatia,Spray-Gun-Repairer Helper,35766,Watching TV,-,27.0,0.0
651,Foreman,Albert,M,1.94,61.77,U4151987F,Finland,Hothouse Worker,41093,Shopping,Tesla,30.0,0.0
652,Case,Johnny,M,1.67,78.68,F0550447V,Poland,Truss Assembler,17089,Writing,-,19.0,0.0
653,Herring,Anthony,M,1.94,63.27,J5466578L,Germany,"Welder Apprentice, Gas",16881,Camping,-,30.0,1.0
654,Jennings,Benjamin,M,1.74,50.85,A8030250N,Czechia,Wafer Mounter,79642,Team Sports,-,36.0,1.0
655,Morton,Keith,M,1.66,63.37,P0448713D,South Korea,Stereotyper,10120,Writing,-,29.0,1.0
656,Greene,Amber,F,1.4,44.21,S0872695G,France,"Supervisor, Finishing-And-Shipping",69406,Bicycling,-,32.0,0.0
657,Mooney,Peter,M,1.92,48.36,O4025552T,Argentina,Lithographic Platemaker,68994,Fishing,-,40.0,1.0
658,Rivas,Deborah,F,1.75,42.36,31349800N,Cyprus,Dump Operator,13209,Watching Sports,-,33.0,0.0
659,Sexton,Danielle,F,1.82,56.06,G7918396C,Brazil,Packing-House Supervisor,23027,Animal Care,-,34.0,1.0
660,Rosario,Theresa,F,1.66,50.1,P0181568O,Senegal,"Supervisor, Electronics Systems Maintenance",26995,Swimming,-,34.0,0.0
661,Irwin,Ann,F,1.74,42.42,S5933486U,Spain,Rubber,83387,Gardening,-,31.0,0.0
662,Travis,Logan,M,1.68,69.59,Z5353232O,Portugal,"Supervisor, Finishing Department",50849,Golf,-,38.0,1.0
663,Erickson,Jerry,M,1.83,77.66,26703936X,Russia,Process Checker,62308,Watching Sports,-,33.0,1.0
664,Bowers,Ann,F,1.51,57.45,B3592352X,South Africa,"Teacher, Secondary School",37048,Computer Games,-,35.0,1.0
665,Yang,Noah,M,1.94,74.87,H9386300X,South Africa,In-Flight Refueling System Repairer,55243,Golf,-,35.0,1.0
